Job Title,Company,Location,Education,Experience,Deadline
Sr. Executive - (Trims & Accessories)-Warehouse,South East Textile (Pvt.) Ltd. (Interstoff Group),Mirzapur,Master of Business Administration (MBA)At least 03 to 05 years & good knowledge & skills in MS ...,3 to 5 year(s),"
5 Sep 2023"
"Territory Officer, CEAT Tire (2 Wheeler)",ACI Motors Limited,Anywhere in Bangladesh,Bachelor degree in any discipline,2 to 3 year(s),"
5 Sep 2023"
Software Programmer,Swosti Limited,Dhaka,"Na
                                                        






 Deadline: 

5 Sep 2023",Na,"
5 Sep 2023"
Senior Digital Marketing Specialist,Bitchip Digital,Uttara Sector 3,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 3 year(s),"
5 Sep 2023"
"Marketing Service Executive, Yamaha",ACI Motors Limited,Dhaka,"0 to 2 year(s)
                                                        






 Deadline: 

5 Sep 2023",0 to 2 year(s),"
5 Sep 2023"
Upazila TA Coordinator,FHI 360,Ulipur,"4 to 5 year(s)
                                                        






 Deadline: 

5 Sep 2023",4 to 5 year(s),"
5 Sep 2023"
Student Counselor,Playpen School,Dhaka,Master of Science (MSc) in PsychologyMaster of Science (MSc) in Public HealthMaster of Science ...,1 to 5 year(s),"
5 Sep 2023"
Lecturer / Assistant Teacher,Udayan Ideal School & College,Badda,Bachelor degree in any disciplineMasters degree in any disciplinePost Graduate Degree with ...,Na,"
5 Sep 2023"
Pattern Master (CAD),GH Haewae Co. Ltd.,Anywhere in Bangladesh,HSCBachelor degree in any discipline,At least 5 year(s),"
5 Sep 2023"
"Sr. Executive, Compliance (Head of Dept. for Sister Concern)",GH Haewae Co. Ltd.,Anywhere in Bangladesh,Masters degree in any disciplinePGDHRM / PGD in Social Compliance / LLB is preferable. Conversant ...,At least 7 year(s),"
5 Sep 2023"
Corporate Sales Executive,Rely International BD,Dhaka,Bachelor degree in any discipline,0 to 1 year(s),"
5 Sep 2023"
ম্যানেজার,JAHID ACCESSORIES CO.,কেরানীগঞ্জ,"2 to 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",null,o 3 year(s)
Jr. Executive/ Executive - HR,Aman Knittings Limited,"Savar, Ashulia",Bachelor of Business Administration (BBA)Masters degree in any discipline,0 to 4 year(s),"
4 Sep 2023"
"Executive, Fire safety (Dept. Head for Sister Factory)",GH Haewae Co. Ltd.,Anywhere in Bangladesh,"3 to 5 year(s)
                                                        






 Deadline: 

5 Sep 2023",null,o 5 year(s)
Senior Teacher,American Standard International School,GULSHAN 2,"Master of Science (MSc) in Physics, Master of Science (MSc) in Biology, Master of Science (MSc) in ...",At least 10 year(s),"
5 Sep 2023"
ড্রাইভার,Nadia Furniture Limited,বাংলাদেশের যেকোনো স্থানে,"10 to 15 year(s)
                                                        






 Deadline: 

5 Sep 2023",null, 15 year(s)
Customer Service Representative - Female,Skyline International BD Ltd,DOHS Baridhara,Bachelor of Business Administration (BBA),2 to 3 year(s),"
4 Sep 2023"
Call Center Executive - Night Shift (Only Male),INNOV Tech,Tongi,"Education qualifications don`t matter if you know how to hold a conversation in English.
We will ...",At least 1 year(s),"
5 Sep 2023"
Management Trainee Officer (MTO),Well Reputed Trims & Accessories Company,Anywhere in Bangladesh,Bachelor degree in any discipline,Na,"
5 Sep 2023"
Call Center Executive,Face 2,Mirpur,HSCBachelor degree in any discipline,0 to 1 year(s),"
5 Sep 2023"
Social Media Marketing Executive,National Energy Services Limited,Dhaka,Bachelor in any discipline from a reputed institute.,1 to 2 year(s),"
5 Sep 2023"
Asst. Manager - Sales,KDS Accessories,"Chattogram, Dhaka, Gazipur","At least 5 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 5 year(s),"
5 Sep 2023"
"Assistant Manager, Revenue & Assurance",Agni Systems Limited,GULSHAN 1,Bachelor of Business Administration (BBA) in AccountingMaster of Business Administration (MBA) in ...,7 to 10 year(s),"
5 Sep 2023"
Quality Controller,MOTHER APPAREL MANUFACTURE LIMITED,Gazipur,"2 to 5 year(s)
                                                        






 Deadline: 

5 Sep 2023",2 to 5 year(s),"
5 Sep 2023"
Business Development (Sales & Marketing) - Deputy Manager/Manager,Radisson Digital Technologies Ltd.,Kawran Bazar,Master of Business Administration (MBA) in MarketingMasters in any discipline.,At least 5 year(s),"
5 Sep 2023"
Sr. Executive/ Asst. Manager - Service Warranty,Panna Group,United Arab Emirates,"At least 5 year(s)
                                                        






 Deadline: 

4 Sep 2023",At least 5 year(s),"
4 Sep 2023"
Assistant Manager/ Manager (Dyeing Finishing Production),A Reputed Knit Composite Garments,Gazipur,Minimum Graduation with good academic background. Textile Engineers are encouraged to apply.,At least 5 year(s),"
5 Sep 2023"
Assistant Manager/ Manager (Dyeing Production),A Reputed Knit Composite Garments,Gazipur,Minimum Graduation with good academic background. Textile Engineers are encouraged to apply.,At least 5 year(s),"
5 Sep 2023"
Jr. Officer/Officer- Electrical Engineer (BSC/Diploma),Quality Feeds Limited,Anywhere in Bangladesh,Diploma in Electrical in BSCDiploma in Electrical Engineering from any reputed ...,1 to 4 year(s),"
5 Sep 2023"
Telesales Executive,NR Business Solution Ltd.,Mirpur,"O LevelO level/ A level/ HSC/ Graduate from any background.
Freshers or under-graduation enrolled ...",Na,"
5 Sep 2023"
Senior Merchandiser/ Merchandiser,DBL GROUP,Gazipur,"B.Sc in Textile Engineering, major in Garment/ Apparel Manufacturing Technology from KUET/ BUTex/ ...",At least 3 year(s),"
5 Sep 2023"
Medical Technologist (X-Ray) - Radiology & Imaging,Amishapara Central Hospital Limited,Sonaimuri,Diploma in Medical Technology in Radiology and ImagingBSC in Radiology Technology,2 to 5 year(s),"
5 Sep 2023"
PHP Developer (Urgent Recruitment),IBCS-PRIMAX Software (Bangladesh) Ltd.,Lalmatia,Bachelor degree in any discipline,At least 2 year(s),"
5 Sep 2023"
