Job Title,Company,Location,Education,Experience,Deadline
HR-Administrator,Rangpur Community Medical College Hospital,Rangpur,BBA/ MBA in HRM from reputed institution are preferred.,3 to 5 year(s),31 Aug 2023
Executive - Supply Chain & Coordination,Pacific Jeans Limited,Chattogram,Masters degree in any discipline,2 to 4 year(s),31 Aug 2023
Monitoring & Evaluation Officer,Bangladesh Nazarene Mission,Dhaka,Masters in any discipline or relevance degree with at least 3 years` experience in Participatory ...,3 to 5 year(s),31 Aug 2023
Clinical Data Associate,Toxicology Society of Bangladesh (TSB),Chattogram,"Graduation in Life Science, Computer Science, Pharmacy, Statistics, Mathematics, Software ...",At least 2 year(s),31 Aug 2023
Finance Director,A renowned multinational company,Anywhere in Bangladesh,"10 to 12 year(s)
                                                        






 Deadline: 

31 Aug 2023",null, 12 year(s)
Officer/ Sr. Officer- Shipping Operation,Meghna Group of Industries.,Narayanganj,Diploma/ B.Sc in Marine /Mechanical / Electrical Engineering,At least 1 year(s),31 Aug 2023
Quantity Surveyor Engineer / QS Engineer,"Hunan Construction Engineering co. Ltd, Bangladesh branch.",Rajshahi,Bachelor of Science (BSc) in Quantity Surveyor related majors,At least 2 year(s),31 Aug 2023
Executive Assistant; Global Resource Mobilisation & Partnerships,BRAC,Dhaka,"Minimum 01 year experience, preferably in development or related field and experience in providing ...",At least 1 year(s),"
1 Sep 2023"
Paid Internship,Greenland Group.,Gulshan,Bachelor of commerce,At most 1 year(s),31 Aug 2023
Sr. Executive / Executive - Mechanical,NHT Engineering Ltd (A concern of Pacific Jeans Group),Chattogram,Bachelor of Science (BSc) in Mechanical Engineering,5 to 7 year(s),31 Aug 2023
Executive/ Sr. Executive - Environmental Sustainability (E.T.P),Fakir Fashion Ltd.,Narayanganj,B.Sc/M.Sc in Environmental Science/Chemistry/Chemical Engineering from any reputed public ...,4 to 6 year(s),31 Aug 2023
Director - International Relation and Communication.,The Bangladesh Red Crescent Society,Anywhere in Bangladesh,"At least 10 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 10 year(s),31 Aug 2023
"Head of Operation, Population Movement Operation (PMO)",The Bangladesh Red Crescent Society,Cox's Bazar,"Na
                                                        






 Deadline: 

31 Aug 2023",Na,31 Aug 2023
Executive Commercial-Import,DEKKO Legacy Group,Dhaka,"2 to 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",2 to 3 year(s),31 Aug 2023
প্রকল্প ব্যবস্থাপক,Naripokkho,ঢাকা,"At least 10 year(s)
                                                        






 Deadline: 

1 Sep 2023",At least 10 year(s),"
1 Sep 2023"
ঊর্ধ্বতন প্রকল্প কর্মকর্তা (এ্যাডভোকেসী),Naripokkho,ঢাকা,"At least 7 year(s)
                                                        






 Deadline: 

1 Sep 2023",At least 7 year(s),"
1 Sep 2023"
আইটি কাম ডাটা অ্যানালিস্ট,আকিজ বিড়ি ফ্যাক্টরী লিমিটেড,বাংলাদেশের যেকোনো স্থানে,"Na
                                                        






 Deadline: 

31 Aug 2023",Na,31 Aug 2023
Lab Assistant of Mechatronics Engineering,World University of Bangladesh,Dhaka,"Bachelor of Science (BSc) in MTE, ME,AE.B.Sc. or Diploma in Mechanical / Automobile / Mechatronics ...",At least 2 year(s),31 Aug 2023
Digital Marketing Executive,International School Dhaka,Dhaka,Bachelor of Business Administration (BBA) in Marketing,2 to 3 year(s),31 Aug 2023
Operation Manager,PeopleScape,Anywhere in Bangladesh,Bachelor degree in any discipline,2 to 3 year(s),31 Aug 2023
Marketing and Sales Representative,KNIGHT RIDER MOTORS,Chattogram,Bachelor of Commerce (BCom) in MarketingBachelor / Honors from any Public or Private Universities.,At least 1 year(s),31 Aug 2023
Chief Financial Officer,Beximco LPG Unit 1,Dhaka,Master of Business Administration (MBA) in FinanceFull professional qualifications (CA/CMA),At least 15 year(s),31 Aug 2023
Chief Finance Officer,A Reputed Group of Companies in Chattogram,Chattogram,Master of Commerce (MCom) in accounting and bankingMasters degree in any disciplineCandidate ...,At least 10 year(s),31 Aug 2023
Graphics & Motion Graphic Designer,Intercloud Limited,Dhaka,Bachelor degree in any discipline,2 to 3 year(s),31 Aug 2023
Front Desk & Office Management Assistant,Royal Pacific Consultancy Limited,Banani,HSCBachelor degree in any discipline,At least 1 year(s),31 Aug 2023
"Jr. Technician / Technician, Laboratory",Colorplus Masterbatch Manufacturing Co. Ltd.,Dhaka,Post Graduate Diploma (PGD),2 to 5 year(s),31 Aug 2023
Hostel Warden,Christian Service Society (CSS),Khulna,Bachelor degree from any discipline,Na,"
1 Sep 2023"
Counsellor/ Senior Counsellor - USA,Royal Pacific Consultancy Limited,Banani,Bachelor degree in any discipline,At least 2 year(s),31 Aug 2023
Sr Executive/ Executive - Reservation,Akashbari Holidays,Banani,Bachelor degree in any discipline,At least 3 year(s),31 Aug 2023
"Deputy Manager - Planned Maintenance System (PMS), Ocean Going Vessel",Meghna Group of Industries.,Chattogram,Bachelor in Marine Engineering or similar discipline.,At least 4 year(s),31 Aug 2023
Asst Manager/Deputy Manager (Procurement),AIIM Agrovet Industries Limited (Sister concern of Abdul Monem Ltd.),Dhaka,"4 to 6 year(s)
                                                        






 Deadline: 

31 Aug 2023",4 to 6 year(s),31 Aug 2023
ফিল্ড অফিসার (Field Officer),CEDAR (Concern for Environmental Development And Research),"ঢাকা, গাজীপুর, মুন্সিগঞ্জ, নারায়ণগঞ্জ, নরসিংদী",স্নাতক তবে অভিজ্ঞ এইচএসসি পাস প্রার্থীরাও আবেদন করতে পারবেন।,Na,"
1 Sep 2023"
A Reputed Bank,Dhaka,4 years Graduation or Masters in any discipline from a reputed university,At least 2 year(s),null,t 2 year(s)
BMC Group,"At least 3 years experience in Welding , Pipe fitting ,lathe operation, mechanical maintenance and local machinery modification & Production Process","Gazipur, Khulna","At least 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 3 year(s),31 Aug 2023
"Associate II-Program Coordination, UNFPA Humanitarian project (Bhasanchar)",Ipas Bangladesh,Dhaka,Na,null,Na
Asst. Project Manager/ Project Manager,Synesis IT,Dhaka,"4 to 8 year(s)
                                                        






 Deadline: 

31 Aug 2023",4 to 8 year(s),31 Aug 2023
ওয়াটার কোয়ালিটি স্পেশালিষ্ট-০১ জন (কর্মী স্তর-০৯),Dushtha Shasthya Kendra (DSK),টেকনাফ,"3 to 4 year(s)
                                                        






 Deadline: 

31 Aug 2023",3 to 4 year(s),31 Aug 2023
Field Manager,Kisan Botanix Limited,Anywhere in Bangladesh,"2 to 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",2 to 3 year(s),31 Aug 2023
কমিউনিটি মোবিলাইজার,Concerned Women for Family Development [CWFD],বাংলাদেশের যেকোনো স্থানে,এইচ এস সি পাশ,Na,31 Aug 2023
